,MESS_DATUM, RSK
0,20150901,5.4
1,20150902,2.6
2,20150903,0.6
3,20150904,11.5
4,20150905,1.9
5,20150906,1.9
6,20150907,1.6
7,20150908,0.2
8,20150909,0.0
9,20150910,0.0
10,20150911,0.0
11,20150912,3.0
12,20150913,2.1
13,20150914,2.1
14,20150915,3.3
15,20150916,13.0
16,20150917,3.2
17,20150918,0.6
18,20150919,0.3
19,20150920,0.0
20,20150921,1.3
21,20150922,7.4
22,20150923,2.9
23,20150924,0.1
24,20150925,0.0
25,20150926,0.0
26,20150927,0.0
27,20150928,0.0
28,20150929,0.0
29,20150930,0.0
30,20151001,0.0
31,20151002,0.0
32,20151003,0.0
33,20151004,0.0
34,20151005,8.3
35,20151006,0.3
36,20151007,3.1
37,20151008,4.6
38,20151009,0.3
39,20151010,0.0
40,20151011,0.0
41,20151012,0.0
42,20151013,1.1
43,20151014,6.4
44,20151015,10.8
45,20151016,13.0
46,20151017,0.0
47,20151018,0.6
48,20151019,0.0
49,20151020,0.1
50,20151021,0.8
51,20151022,0.3
52,20151023,0.0
53,20151024,0.0
54,20151025,0.7
55,20151026,0.0
56,20151027,0.0
57,20151028,0.0
58,20151029,0.0
59,20151030,0.0
60,20151031,0.0
61,20151101,0.0
62,20151102,0.0
63,20151103,0.0
64,20151104,1.5
65,20151105,3.5
66,20151106,1.1
67,20151107,0.0
68,20151108,6.3
69,20151109,0.0
70,20151110,0.6
71,20151111,0.0
72,20151112,0.0
73,20151113,2.2
74,20151114,9.4
75,20151115,1.6
76,20151116,11.5
77,20151117,2.6
78,20151118,0.0
79,20151119,7.8
80,20151120,1.1
81,20151121,1.4
82,20151122,0.0
83,20151123,0.0
84,20151124,9.0
85,20151125,0.0
86,20151126,0.0
87,20151127,2.9
88,20151128,2.2
89,20151129,12.5
90,20151130,24.6
91,20151201,2.8
92,20151202,0.0
93,20151203,3.8
94,20151204,1.4
95,20151205,0.0
96,20151206,1.8
97,20151207,0.0
98,20151208,4.8
99,20151209,0.0
100,20151210,3.9
101,20151211,5.0
102,20151212,2.3
103,20151213,1.6
104,20151214,0.0
105,20151215,1.4
106,20151216,2.5
107,20151217,0.1
108,20151218,0.0
109,20151219,0.0
110,20151220,2.9
111,20151221,2.8
112,20151222,0.0
113,20151223,1.0
114,20151224,1.8
115,20151225,2.0
116,20151226,0.0
117,20151227,0.0
118,20151228,0.0
119,20151229,0.0
120,20151230,0.1
121,20151231,3.1
122,20160101,0.0
123,20160102,2.9
124,20160103,6.1
125,20160104,4.5
126,20160105,0.7
127,20160106,1.4
128,20160107,5.9
129,20160108,0.0
130,20160109,0.5
131,20160110,3.6
132,20160111,5.6
133,20160112,3.4
134,20160113,2.1
135,20160114,7.0
136,20160115,0.4
137,20160116,0.5
138,20160117,0.0
139,20160118,0.0
140,20160119,0.0
141,20160120,0.0
142,20160121,0.0
143,20160122,4.1
144,20160123,0.0
145,20160124,0.9
146,20160125,0.0
147,20160126,1.8
148,20160127,7.7
149,20160128,0.0
150,20160129,3.6
151,20160130,12.1
152,20160131,9.2
153,20160201,2.0
154,20160202,6.8
155,20160203,0.5
156,20160204,4.5
157,20160205,1.4
158,20160206,0.0
159,20160207,3.3
160,20160208,6.2
161,20160209,15.6
162,20160210,4.5
163,20160211,0.0
164,20160212,0.0
165,20160213,4.7
166,20160214,9.5
167,20160215,1.6
168,20160216,0.0
169,20160217,0.1
170,20160218,0.0
171,20160219,1.1
172,20160220,9.9
173,20160221,1.8
174,20160222,11.9
175,20160223,4.7
176,20160224,0.0
177,20160225,0.0
178,20160226,0.0
179,20160227,0.0
180,20160228,0.0
181,20160229,0.0
182,20160301,5.6
183,20160302,4.0
184,20160303,0.0
185,20160304,6.5
186,20160305,0.1
187,20160306,0.3
188,20160307,0.0
189,20160308,0.0
190,20160309,0.0
191,20160310,0.0
192,20160311,0.0
193,20160312,0.0
194,20160313,0.0
195,20160314,0.0
196,20160315,0.0
197,20160316,0.0
198,20160317,0.0
199,20160318,0.0
200,20160319,0.0
201,20160320,0.7
202,20160321,0.0
203,20160322,0.1
204,20160323,0.6
205,20160324,1.9
206,20160325,6.7
207,20160326,0.8
208,20160327,1.8
209,20160328,4.1
210,20160329,0.4
211,20160330,0.3
212,20160331,0.0
213,20160401,0.0
214,20160402,0.0
215,20160403,0.4
216,20160404,1.3
217,20160405,3.3
218,20160406,0.2
219,20160407,0.2
220,20160408,0.0
221,20160409,0.0
222,20160410,0.0
223,20160411,0.1
224,20160412,3.8
225,20160413,0.2
226,20160414,4.1
227,20160415,0.0
228,20160416,0.2
229,20160417,0.6
230,20160418,0.0
231,20160419,0.0
232,20160420,0.0
233,20160421,0.0
234,20160422,0.0
235,20160423,0.0
236,20160424,0.9
237,20160425,5.9
238,20160426,4.4
239,20160427,7.3
240,20160428,3.1
241,20160429,6.3
242,20160430,0.2
243,20160501,0.0
244,20160502,3.2
245,20160503,0.0
246,20160504,0.0
247,20160505,0.0
248,20160506,0.0
