,MESS_DATUM, TMK
0,20160501,9.4
1,20160502,12.4
2,20160503,11.3
3,20160504,10.2
4,20160505,14.3
5,20160506,18.4
6,20160507,20.4
7,20160508,21.1
8,20160509,20.5
9,20160510,19.2
10,20160511,20.9
11,20160512,20.3
12,20160513,17.9
13,20160514,9.2
14,20160515,8.8
15,20160516,9.4
16,20160517,12.8
17,20160518,14.3
18,20160519,13.8
19,20160520,13.9
20,20160521,18.9
21,20160522,18.1
22,20160523,13.1
23,20160524,11.2
24,20160525,13.6
25,20160526,15.9
26,20160527,17.2
27,20160528,19.0
28,20160529,17.7
29,20160530,17.5
30,20160531,18.4
31,20160601,17.7
32,20160602,19.3
33,20160603,18.6
34,20160604,19.9
35,20160605,21.6
36,20160606,20.8
37,20160607,19.9
38,20160608,17.7
39,20160609,16.1
40,20160610,16.6
41,20170501,10.4
42,20170502,9.7
43,20170503,11.2
44,20170504,10.8
45,20170505,9.3
46,20170506,13.6
47,20170507,12.9
48,20170508,9.7
49,20170509,8.7
50,20170510,10.6
51,20170511,15.9
52,20170512,17.4
53,20170513,16.9
54,20170514,15.9
55,20170515,16.3
56,20170516,21.5
57,20170517,24.4
58,20170518,18.4
59,20170519,14.0
60,20170520,13.8
61,20170521,15.6
62,20170522,19.3
63,20170523,19.1
64,20170524,16.6
65,20170525,17.4
66,20170526,21.2
67,20180501,9.0
68,20180502,12.2
69,20180503,12.3
70,20180504,13.6
71,20180505,16.2
72,20180506,18.9
73,20180507,20.1
74,20180508,20.8
75,20180509,21.1
76,20180510,14.6
77,20180511,14.6
78,20180512,19.1
79,20180513,14.9
80,20180514,19.3
81,20180515,19.7
82,20180516,17.4
83,20180517,12.6
84,20180518,11.9
85,20180519,12.1
86,20180520,17.6
87,20180521,20.6
88,20180522,18.2
89,20180523,19.2
90,20180524,18.6
91,20180525,20.8
92,20180526,23.6
93,20180527,20.9
94,20180528,23.4
95,20180529,22.8
96,20180530,22.8
97,20180531,22.2
98,20180601,18.4
99,20180602,18.3
100,20180603,20.3
101,20180604,20.8
102,20180605,17.8
103,20180606,22.2
104,20180607,22.4
105,20180608,20.2
106,20180609,22.0
107,20190501,9.4
108,20190502,9.7
109,20190503,9.0
110,20190504,6.0
111,20190505,6.8
112,20190506,6.9
113,20190507,9.2
114,20190508,10.9
115,20190509,12.7
116,20190510,10.8
117,20190511,11.4
118,20190512,10.2
119,20190513,10.8
120,20190514,11.1
121,20190515,12.0
122,20190516,11.2
123,20190517,11.4
124,20190518,15.5
125,20190519,16.6
126,20190520,14.3
127,20190521,12.4
128,20190522,14.2
129,20190523,15.8
130,20190524,17.4
131,20190525,14.5
132,20190526,16.6
133,20190527,15.7
134,20190528,12.2
135,20190529,13.9
136,20190530,17.0
137,20190531,19.0
138,20190601,20.6
139,20190602,24.5
140,20190603,19.7
141,20190604,21.7
142,20190605,21.9
143,20190606,15.7
144,20190607,17.3
145,20190608,15.1
146,20190609,17.0
147,20190610,18.0
148,20190611,17.1
149,20190612,17.0
150,20190613,16.7
151,20190614,20.0
152,20190615,18.7
153,20190616,18.5
154,20190617,21.0
155,20190618,22.6
156,20190619,22.3
157,20190620,17.7
158,20190621,16.7
159,20190622,19.8
160,20190623,24.6
161,20190624,27.8
162,20190625,29.5
163,20190626,24.3
164,20190627,19.8
