,MESS_DATUM, RSK
0,20150901,0.3
1,20150902,1.3
2,20150903,2.4
3,20150904,21.5
4,20150905,0.7
5,20150906,1.6
6,20150907,0.6
7,20150908,0.0
8,20150909,0.0
9,20150910,0.0
10,20150911,0.0
11,20150912,1.9
12,20150913,1.2
13,20150914,8.0
14,20150915,1.8
15,20150916,7.9
16,20150917,10.2
17,20150918,0.0
18,20150919,7.3
19,20150920,0.0
20,20150921,1.6
21,20150922,22.2
22,20150923,0.6
23,20150924,2.1
24,20150925,0.0
25,20150926,0.0
26,20150927,0.0
27,20150928,0.0
28,20150929,0.0
29,20150930,0.0
30,20151001,0.0
31,20151002,0.0
32,20151003,0.0
33,20151004,0.0
34,20151005,9.2
35,20151006,0.7
36,20151007,1.4
37,20151008,1.6
38,20151009,0.0
39,20151010,0.0
40,20151011,0.0
41,20151012,0.0
42,20151013,0.0
43,20151014,8.1
44,20151015,8.2
45,20151016,11.4
46,20151017,0.0
47,20151018,0.5
48,20151019,0.0
49,20151020,0.1
50,20151021,1.4
51,20151022,1.8
52,20151023,0.0
53,20151024,1.3
54,20151025,0.5
55,20151026,0.0
56,20151027,0.0
57,20151028,0.1
58,20151029,0.0
59,20151030,0.0
60,20151031,0.0
61,20151101,0.0
62,20151102,0.0
63,20151103,0.0
64,20151104,0.2
65,20151105,5.4
66,20151106,2.9
67,20151107,2.9
68,20151108,2.7
69,20151109,0.3
70,20151110,1.2
71,20151111,0.0
72,20151112,0.0
73,20151113,4.3
74,20151114,17.3
75,20151115,2.7
76,20151116,7.8
77,20151117,4.5
78,20151118,1.4
79,20151119,6.6
80,20151120,1.1
81,20151121,0.7
82,20151122,1.5
83,20151123,0.0
84,20151124,8.2
85,20151125,0.1
86,20151126,0.0
87,20151127,3.0
88,20151128,2.4
89,20151129,18.7
90,20151130,22.2
91,20151201,1.3
92,20151202,0.0
93,20151203,4.5
94,20151204,0.1
95,20151205,0.0
96,20151206,0.5
97,20151207,0.1
98,20151208,4.6
99,20151209,0.0
100,20151210,5.0
101,20151211,3.8
102,20151212,4.5
103,20151213,0.4
104,20151214,0.0
105,20151215,1.4
106,20151216,3.9
107,20151217,0.0
108,20151218,0.0
109,20151219,0.0
110,20151220,0.6
111,20151221,2.9
112,20151222,4.3
113,20151223,0.0
114,20151224,1.6
115,20151225,0.2
116,20151226,0.0
117,20151227,0.0
118,20151228,0.0
119,20151229,0.0
120,20151230,1.9
121,20151231,0.2
122,20160101,0.0
123,20160102,7.7
124,20160103,10.1
125,20160104,4.0
126,20160105,3.4
127,20160106,0.8
128,20160107,7.8
129,20160108,0.0
130,20160109,0.1
131,20160110,0.1
132,20160111,4.5
133,20160112,9.8
134,20160113,4.0
135,20160114,8.2
136,20160115,0.2
137,20160116,1.7
138,20160117,0.0
139,20160118,0.0
140,20160119,0.0
141,20160120,0.4
142,20160121,0.0
143,20160122,6.5
144,20160123,0.1
145,20160124,1.7
146,20160125,0.0
147,20160126,1.3
148,20160127,13.5
149,20160128,0.0
150,20160129,5.7
151,20160130,23.3
152,20160131,7.8
153,20160201,1.2
154,20160202,2.5
155,20160203,0.5
156,20160204,2.9
157,20160205,0.6
158,20160206,0.0
159,20160207,2.1
160,20160208,4.6
161,20160209,22.3
162,20160210,2.9
163,20160211,0.0
164,20160212,0.0
165,20160213,3.6
166,20160214,12.4
167,20160215,0.0
168,20160216,0.0
169,20160217,0.0
170,20160218,0.3
171,20160219,0.9
172,20160220,13.5
173,20160221,7.6
174,20160222,10.6
175,20160223,3.0
176,20160224,0.0
177,20160225,0.0
178,20160226,0.0
179,20160227,0.0
180,20160228,0.0
181,20160229,0.0
182,20160301,5.1
183,20160302,8.9
184,20160303,0.0
185,20160304,6.7
186,20160305,0.0
187,20160306,1.2
188,20160307,0.1
189,20160308,0.0
190,20160309,0.0
191,20160310,0.0
192,20160311,0.0
193,20160312,0.0
194,20160313,0.0
195,20160314,0.0
196,20160315,0.0
197,20160316,0.0
198,20160317,0.0
199,20160318,0.0
200,20160319,0.1
201,20160320,0.6
202,20160321,0.3
203,20160322,1.7
204,20160323,0.4
205,20160324,3.3
206,20160325,5.9
207,20160326,1.8
208,20160327,2.4
209,20160328,4.0
210,20160329,1.1
211,20160330,0.0
212,20160331,0.0
213,20160401,0.0
214,20160402,0.0
215,20160403,0.1
216,20160404,0.7
217,20160405,5.0
218,20160406,2.7
219,20160407,0.0
220,20160408,0.2
221,20160409,0.1
222,20160410,0.0
223,20160411,0.7
224,20160412,9.6
225,20160413,0.0
226,20160414,2.3
227,20160415,8.6
228,20160416,0.8
229,20160417,3.5
230,20160418,0.0
231,20160419,0.0
232,20160420,0.0
233,20160421,0.0
234,20160422,0.0
235,20160423,0.0
236,20160424,2.7
237,20160425,9.4
238,20160426,8.0
239,20160427,5.5
240,20160428,0.5
241,20160429,1.3
242,20160430,0.0
243,20160501,0.0
244,20160502,2.2
245,20160503,0.0
246,20160504,0.0
247,20160505,0.0
248,20160506,0.0
249,20160507,0.0
250,20160508,0.0
251,20160509,0.0
252,20160510,0.0
253,20160511,0.0
254,20160512,0.0
255,20160513,0.0
256,20160514,0.4
257,20160515,0.3
258,20160516,0.0
259,20160517,0.0
260,20160518,0.3
261,20160519,0.1
262,20160520,12.1
263,20160521,0.0
264,20160522,5.1
265,20160523,9.7
266,20160524,0.0
267,20160525,0.0
268,20160526,0.0
269,20160527,15.2
270,20160528,0.4
271,20160529,1.9
272,20160530,29.5
273,20160531,1.5
274,20160601,1.3
275,20160602,3.3
276,20160603,0.9
277,20160604,0.0
278,20160605,0.0
279,20160606,0.0
280,20160607,0.0
281,20160608,0.0
282,20160609,0.0
283,20160610,0.1
284,20160901,0.1
285,20160902,0.8
286,20160903,0.6
287,20160904,3.7
288,20160905,0.1
289,20160906,0.0
290,20160907,0.0
291,20160908,0.0
292,20160909,0.0
293,20160910,0.0
294,20160911,0.0
295,20160912,0.0
296,20160913,0.0
297,20160914,0.0
298,20160915,7.4
299,20160916,0.0
300,20160917,0.0
301,20160918,0.0
302,20160919,0.0
303,20160920,0.0
304,20160921,0.0
305,20160922,0.0
306,20160923,0.0
307,20160924,0.0
308,20160925,0.0
309,20160926,0.0
310,20160927,0.0
311,20160928,0.0
312,20160929,1.6
313,20160930,0.1
314,20161001,1.7
315,20161002,2.5
316,20161003,0.9
317,20161004,0.0
318,20161005,0.0
319,20161006,0.0
320,20161007,0.0
321,20161008,0.0
322,20161009,0.0
323,20161010,0.0
324,20161011,0.4
325,20161012,0.0
326,20161013,0.0
327,20161014,4.2
328,20161015,0.8
329,20161016,0.0
330,20161017,0.0
331,20161018,8.8
332,20161019,16.1
333,20161020,7.4
334,20161021,2.9
335,20161022,0.0
336,20161023,0.0
337,20161024,2.6
338,20161025,0.0
339,20161026,0.0
340,20161027,0.0
341,20161028,0.7
342,20161029,0.0
343,20161030,0.0
344,20161031,0.0
345,20161101,0.3
346,20161102,1.7
347,20161103,0.2
348,20161104,1.3
349,20161105,0.4
350,20161106,0.8
351,20161107,2.5
352,20161108,0.9
353,20161109,8.1
354,20161110,13.2
355,20161111,0.0
356,20161112,0.0
357,20161113,0.7
358,20161114,3.9
359,20161115,4.8
360,20161116,14.6
361,20161117,14.9
362,20161118,1.6
363,20161119,0.1
364,20161120,5.2
365,20161121,1.8
366,20161122,0.0
367,20161123,0.0
368,20161124,0.0
369,20161125,0.0
370,20161126,0.2
371,20161127,0.0
372,20161128,0.0
373,20161129,0.0
374,20161130,0.0
375,20161201,0.1
376,20161202,0.4
377,20161203,0.0
378,20161204,0.0
379,20161205,0.0
380,20161206,0.0
381,20161207,0.0
382,20161208,0.1
383,20161209,0.0
384,20161210,4.4
385,20161211,0.4
386,20161212,0.0
387,20161213,2.0
388,20161214,0.0
389,20161215,0.0
390,20161216,0.0
391,20161217,0.7
392,20161218,0.0
393,20161219,0.0
394,20161220,0.0
395,20161221,9.9
396,20161222,1.4
397,20161223,1.0
398,20161224,1.5
399,20161225,1.6
400,20161226,3.2
401,20161227,0.0
402,20161228,0.0
403,20161229,0.0
404,20161230,0.0
405,20161231,0.0
406,20170101,2.8
407,20170102,0.0
408,20170103,1.8
409,20170104,1.1
410,20170105,0.0
411,20170106,0.4
412,20170107,0.8
413,20170108,0.0
414,20170109,7.5
415,20170110,0.0
416,20170111,2.0
417,20170112,26.6
418,20170113,5.2
419,20170114,2.6
420,20170115,0.0
421,20170116,0.0
422,20170117,0.0
423,20170118,0.0
424,20170119,0.0
425,20170120,0.0
426,20170121,0.0
427,20170122,0.0
428,20170123,0.4
429,20170124,0.0
430,20170125,0.0
431,20170126,0.0
432,20170127,0.0
433,20170128,0.0
434,20170129,5.3
435,20170130,3.7
436,20170131,0.0
437,20170201,0.6
438,20170202,0.6
439,20170203,1.1
440,20170204,4.9
441,20170205,0.0
442,20170206,0.0
443,20170207,3.2
444,20170208,0.0
445,20170209,0.0
446,20170210,0.2
447,20170211,10.5
448,20170212,0.0
449,20170213,0.0
450,20170214,0.0
451,20170215,0.0
452,20170216,0.0
453,20170217,0.2
454,20170218,0.0
455,20170219,0.4
456,20170220,5.8
457,20170221,1.7
458,20170222,27.8
459,20170223,5.4
460,20170224,0.0
461,20170225,0.5
462,20170226,0.0
463,20170227,5.0
464,20170228,3.8
465,20170301,3.1
466,20170302,4.7
467,20170303,0.1
468,20170304,14.1
469,20170305,6.0
470,20170306,3.8
471,20170307,0.3
472,20170308,14.4
473,20170309,1.0
474,20170310,0.0
475,20170311,0.0
476,20170312,0.0
477,20170313,0.0
478,20170314,0.0
479,20170315,0.0
480,20170316,0.0
481,20170317,6.7
482,20170318,8.7
483,20170319,0.6
484,20170320,7.9
485,20170321,0.1
486,20170322,0.0
487,20170323,0.0
488,20170324,0.0
489,20170325,0.0
490,20170326,0.0
491,20170327,0.0
492,20170328,0.0
493,20170329,0.0
494,20170330,0.0
495,20170331,0.4
496,20170401,1.5
497,20170402,0.0
498,20170403,0.0
499,20170404,0.0
500,20170405,0.0
501,20170406,0.0
502,20170407,0.0
503,20170408,0.0
504,20170409,0.0
505,20170410,0.0
