,MESS_DATUM, TMK
0,20160501,8.3
1,20160502,12.5
2,20160503,10.9
3,20160504,9.9
4,20160505,13.7
5,20160506,17.6
6,20160507,20.2
7,20160508,20.4
8,20160509,20.2
9,20160510,18.6
10,20160511,20.5
11,20160512,20.3
12,20160513,17.2
13,20160514,8.6
14,20160515,8.4
15,20160516,8.9
16,20160517,12.2
17,20160518,13.3
18,20160519,13.0
19,20160520,12.7
20,20160521,17.6
21,20160522,16.9
22,20160523,12.2
23,20160524,11.1
24,20160525,12.0
25,20160526,15.2
26,20160527,15.7
27,20160528,18.2
28,20160529,17.1
29,20160530,16.7
30,20160531,17.6
31,20160601,18.9
32,20160602,18.2
33,20160603,17.9
34,20160604,20.6
35,20160605,22.0
36,20160606,19.6
37,20160607,20.5
38,20160608,17.5
39,20160609,15.6
40,20160610,16.2
41,20170501,10.3
42,20170502,9.9
43,20170503,10.8
44,20170504,10.8
45,20170505,8.8
46,20170506,13.0
47,20170507,12.4
48,20170508,9.9
49,20170509,8.7
50,20170510,10.3
51,20170511,14.6
52,20170512,16.6
53,20170513,15.6
54,20170514,14.5
55,20170515,15.0
56,20170516,20.1
57,20170517,23.2
58,20170518,17.3
59,20170519,13.3
60,20170520,12.2
61,20170521,14.3
62,20170522,18.0
63,20170523,17.3
64,20170524,15.9
65,20170525,17.6
66,20170526,20.9
67,20180501,7.9
68,20180502,10.9
69,20180503,11.6
70,20180504,12.9
71,20180505,15.8
72,20180506,18.3
73,20180507,19.4
74,20180508,20.4
75,20180509,20.6
76,20180510,13.2
77,20180511,13.7
78,20180512,18.0
79,20180513,14.0
80,20180514,18.8
81,20180515,19.5
82,20180516,16.4
83,20180517,12.0
84,20180518,10.9
85,20180519,11.3
86,20180520,17.1
87,20180521,19.8
88,20180522,18.2
89,20180523,19.0
90,20180524,17.8
91,20180525,20.6
92,20180526,23.1
93,20180527,20.2
94,20180528,23.2
95,20180529,22.5
96,20180530,21.4
97,20180531,21.1
98,20180601,17.9
99,20180602,17.5
100,20180603,19.2
101,20180604,18.9
102,20180605,16.9
103,20180606,20.9
104,20180607,22.3
105,20180608,19.1
106,20180609,21.2
107,20190501,10.1
108,20190502,9.1
109,20190503,8.4
110,20190504,5.2
111,20190505,6.5
112,20190506,6.7
113,20190507,7.3
114,20190508,9.5
115,20190509,11.6
116,20190510,11.0
117,20190511,10.8
118,20190512,9.0
119,20190513,10.5
120,20190514,11.1
121,20190515,12.2
122,20190516,11.7
123,20190517,10.9
124,20190518,15.4
125,20190519,16.6
126,20190520,14.0
127,20190521,12.0
128,20190522,13.8
129,20190523,15.1
130,20190524,16.1
131,20190525,13.8
132,20190526,15.6
133,20190527,14.6
134,20190528,11.3
135,20190529,12.8
136,20190530,16.2
137,20190531,18.2
138,20190601,19.0
139,20190602,22.9
140,20190603,17.7
141,20190604,19.6
142,20190605,19.1
143,20190606,14.7
144,20190607,16.1
145,20190608,14.5
146,20190609,15.5
147,20190610,17.7
148,20190611,16.1
149,20190612,15.3
150,20190613,15.0
151,20190614,18.3
152,20190615,17.3
153,20190616,16.4
154,20190617,19.7
155,20190618,22.3
156,20190619,21.1
157,20190620,17.5
158,20190621,15.5
159,20190622,18.4
160,20190623,23.3
161,20190624,25.7
162,20190625,27.8
163,20190626,22.0
164,20190627,18.1
